Longitude(deg)	Lattitude(deg)	Alttitude(km)
103.256	61.1776	109.265
103.256	61.1863	109.453
103.256	61.195	109.64
103.256	61.2037	109.828
103.256	61.2123	110.016
103.256	61.221	110.204
103.256	61.2297	110.392
103.256	61.2383	110.58
103.256	61.247	110.768
103.256	61.2557	110.957
103.256	61.2644	111.146
103.256	61.273	111.335
103.256	61.2817	111.524
103.256	61.2904	111.713
103.256	61.299	111.902
103.256	61.3077	112.092
103.256	61.3164	112.281
103.256	61.325	112.471
103.256	61.3337	112.661
103.256	61.3424	112.851
103.256	61.351	113.041
103.256	61.3597	113.232
103.256	61.3684	113.422
103.256	61.377	113.613
103.256	61.3857	113.804
103.256	61.3944	113.995
103.256	61.403	114.186
103.256	61.4117	114.377
103.256	61.4203	114.568
103.256	61.429	114.76
103.256	61.4377	114.952
103.256	61.4463	115.143
103.256	61.455	115.335
103.256	61.4636	115.528
103.256	61.4723	115.72
103.256	61.481	115.912
103.256	61.4896	116.105
103.256	61.4983	116.298
103.256	61.5069	116.491
103.256	61.5156	116.684
103.256	61.5242	116.877
103.256	61.5329	117.07
103.256	61.5416	117.264
103.256	61.5502	117.457
103.256	61.5589	117.651
103.256	61.5675	117.845
103.256	61.5762	118.039
103.256	61.5848	118.233
103.256	61.5935	118.428
103.256	61.6021	118.622
103.256	60.6873	106.754
103.256	60.6959	106.942
103.256	60.7046	107.129
103.256	60.7133	107.317
103.256	60.722	107.505
103.256	60.7306	107.693
103.256	60.7393	107.882
103.256	60.748	108.07
103.256	60.7567	108.259
103.256	60.7653	108.448
103.256	60.774	108.636
103.256	60.7827	108.826
103.256	60.7914	109.015
103.256	60.8	109.204
103.256	60.8087	109.394
103.256	60.8174	109.583
103.256	60.8261	109.773
103.256	60.8347	109.963
103.256	60.8434	110.153
103.256	60.8521	110.343
103.256	60.8607	110.534
103.256	60.8694	110.724
103.256	60.8781	110.915
103.256	60.8867	111.106
103.256	60.8954	111.297
103.256	60.9041	111.488
103.256	60.9127	111.679
103.256	60.9214	111.871
103.256	60.9301	112.062
103.256	60.9387	112.254
103.256	60.9474	112.446
103.256	60.9561	112.638
103.256	60.9647	112.83
103.256	60.9734	113.022
103.256	60.982	113.215
103.256	60.9907	113.407
103.256	60.9994	113.6
103.256	61.008	113.793
103.256	61.0167	113.986
103.256	61.0253	114.179
103.256	61.034	114.373
103.256	61.0427	114.566
103.256	61.0513	114.76
103.256	61.06	114.954
103.256	61.0686	115.147
103.256	61.0773	115.342
103.256	61.0859	115.536
103.256	61.0946	115.73
103.256	61.1032	115.925
103.256	61.1119	116.119
103.256	61.1206	116.314
103.256	61.1292	116.509
103.256	61.1379	116.704
103.256	61.1465	116.9
103.256	61.1552	117.095
103.256	61.1638	117.291
103.256	61.1725	117.486
103.256	61.1811	117.682
103.256	61.1898	117.878
103.256	61.1984	118.074
103.256	61.2071	118.271
103.256	61.2157	118.467
103.256	61.2244	118.664
103.256	61.233	118.861
103.256	61.2416	119.057
103.256	61.2503	119.255
103.256	61.2589	119.452
103.256	61.2676	119.649
103.256	61.2762	119.847
103.256	61.2849	120.044
103.256	61.2935	120.242
103.256	61.3022	120.44
103.256	60.3884	107.927
103.256	60.397	108.118
103.256	60.4057	108.309
103.256	60.4144	108.5
103.256	60.423	108.692
103.256	60.4317	108.883
103.256	60.4404	109.075
103.256	60.449	109.267
103.256	60.4577	109.459
103.256	60.4664	109.651
103.256	60.475	109.844
103.256	60.4837	110.036
