Longitude(deg)	Lattitude(deg)	Alttitude(km)
103.182	52.8811	0.632843
103.167	52.8811	0.659882
103.152	52.8811	0.687077
103.137	52.881	0.714429
103.122	52.881	0.741937
103.107	52.881	0.769602
103.092	52.881	0.797424
103.077	52.881	0.825403
102.333	52.8872	0.801311
102.318	52.8873	0.811109
102.303	52.8873	0.821064
102.289	52.8874	0.831175
102.274	52.8874	0.841443
102.259	52.8874	0.851868
102.244	52.8875	0.86245
102.229	52.8875	0.873188
102.214	52.8875	0.884083
102.199	52.8875	0.895135
102.184	52.8876	0.906343
102.169	52.8876	0.917709
102.155	52.8876	0.929231
102.14	52.8876	0.94091
102.125	52.8876	0.952745
102.11	52.8877	0.964738
102.095	52.8877	0.976887
102.08	52.8877	0.989192
102.065	52.8877	1.00165
102.05	52.8877	1.01427
102.035	52.8877	1.02705
102.021	52.8877	1.03998
102.006	52.8877	1.05307
101.991	52.8877	1.06632
101.976	52.8877	1.07972
101.961	52.8877	1.09328
101.946	52.8877	1.107
101.931	52.8877	1.12087
101.916	52.8877	1.1349
101.902	52.8877	1.14909
101.887	52.8876	1.16343
101.872	52.8876	1.17793
101.857	52.8876	1.19259
101.842	52.8876	1.2074
101.827	52.8876	1.22237
101.812	52.8876	1.2375
101.797	52.8875	1.25278
101.782	52.8875	1.26822
101.768	52.8875	1.28382
101.753	52.8874	1.29957
101.738	52.8874	1.31548
101.723	52.8874	1.33155
101.708	52.8873	1.34777
101.693	52.8873	1.36415
101.678	52.8873	1.38069
101.663	52.8872	1.39739
101.648	52.8872	1.41424
101.634	52.8871	1.43124
101.619	52.8871	1.44841
101.604	52.887	1.46573
101.589	52.887	1.48321
101.574	52.8869	1.50084
101.559	52.8869	1.51863
101.544	52.8868	1.53658
101.529	52.8868	1.55468
101.515	52.8867	1.57294
101.5	52.8866	1.59136
101.485	52.8866	1.60994
101.47	52.8865	1.62867
101.455	52.8864	1.64756
101.44	52.8864	1.6666
101.425	52.8863	1.6858
101.41	52.8862	1.70516
101.396	52.8862	1.72467
101.381	52.8861	1.74435
101.366	52.886	1.76417
101.351	52.8859	1.78416
101.336	52.8858	1.8043
101.321	52.8858	1.8246
102.81	52.885	0.832335
102.795	52.8851	0.845843
102.78	52.8852	0.859507
102.765	52.8853	0.873328
102.75	52.8854	0.887305
102.735	52.8854	0.90144
102.72	52.8855	0.915731
102.705	52.8856	0.930179
102.69	52.8857	0.944783
102.676	52.8858	0.959544
102.661	52.8859	0.974462
102.646	52.886	0.989537
102.631	52.886	1.00477
102.616	52.8861	1.02016
102.601	52.8862	1.0357
102.586	52.8863	1.0514
102.571	52.8863	1.06726
102.557	52.8864	1.08328
102.542	52.8865	1.09945
102.527	52.8865	1.11578
102.512	52.8866	1.13226
102.497	52.8867	1.1489
102.482	52.8867	1.1657
102.467	52.8868	1.18266
102.452	52.8869	1.19977
102.437	52.8869	1.21704
102.423	52.887	1.23446
102.408	52.887	1.25205
102.393	52.8871	1.26979
102.378	52.8871	1.28768
102.363	52.8872	1.30573
102.348	52.8872	1.32394
102.333	52.8872	1.34231
102.318	52.8873	1.36083
102.304	52.8873	1.37951
102.289	52.8874	1.39835
102.274	52.8874	1.41734
102.259	52.8874	1.43649
102.244	52.8875	1.45579
102.229	52.8875	1.47526
102.214	52.8875	1.49487
102.199	52.8875	1.51465
102.184	52.8876	1.53458
102.17	52.8876	1.55467
102.155	52.8876	1.57492
102.14	52.8876	1.59532
102.125	52.8876	1.61588
102.11	52.8877	1.6366
102.095	52.8877	1.65747
102.08	52.8877	1.6785
102.065	52.8877	1.69968
102.051	52.8877	1.72103
102.036	52.8877	1.74253
102.021	52.8877	1.76418
102.006	52.8877	1.786
101.991	52.8877	1.80796
101.976	52.8877	1.83009
101.961	52.8877	1.85237
101.946	52.8877	1.87481
101.931	52.8877	1.89741
101.917	52.8877	1.92016
101.902	52.8877	1.94307
101.887	52.8876	1.96614
101.872	52.8876	1.98936
101.857	52.8876	2.01274
101.842	52.8876	2.03628
101.827	52.8876	2.05997
101.812	52.8876	2.08382
103.256	52.8811	0.5
103.241	52.8813	0.517531
103.226	52.8814	0.535218
103.211	52.8816	0.553062
103.196	52.8817	0.571063
103.182	52.8819	0.589221
103.167	52.882	0.607535
103.152	52.8822	0.626007
103.137	52.8823	0.644634
103.122	52.8824	0.663419
103.107	52.8826	0.68236
103.092	52.8827	0.701458
103.077	52.8828	0.720713
103.063	52.883	0.740124
103.048	52.8831	0.759692
103.033	52.8832	0.779417
103.018	52.8834	0.799298
103.003	52.8835	0.819337
102.988	52.8836	0.839532
102.973	52.8837	0.859883
102.958	52.8839	0.880391
102.944	52.884	0.901056
102.929	52.8841	0.921878
102.914	52.8842	0.942857
102.899	52.8843	0.963992
102.884	52.8844	0.985283
102.869	52.8845	1.00673
102.854	52.8847	1.02834
102.839	52.8848	1.0501
102.824	52.8849	1.07202
102.81	52.885	1.09409
102.795	52.8851	1.11632
102.78	52.8852	1.13871
102.765	52.8853	1.16126
102.75	52.8854	1.18396
102.735	52.8854	1.20682
102.72	52.8855	1.22983
102.705	52.8856	1.25301
102.691	52.8857	1.27633
102.676	52.8858	1.29982
102.661	52.8859	1.32346
102.646	52.886	1.34726
102.631	52.886	1.37122
102.616	52.8861	1.39533
102.601	52.8862	1.4196
102.586	52.8863	1.44402
102.572	52.8863	1.4686
102.557	52.8864	1.49334
102.542	52.8865	1.51824
102.527	52.8865	1.54329
102.512	52.8866	1.5685
102.497	52.8867	1.59386
102.482	52.8867	1.61938
102.467	52.8868	1.64506
102.452	52.8869	1.6709
102.438	52.8869	1.69689
102.423	52.887	1.72304
102.408	52.887	1.74934
102.393	52.8871	1.7758
102.378	52.8871	1.80242
102.363	52.8872	1.8292
102.348	52.8872	1.85613
102.333	52.8872	1.88322
102.319	52.8873	1.91046
102.304	52.8873	1.93786
103.256	52.8811	0.5
103.241	52.8813	0.526255
103.226	52.8814	0.552667
103.211	52.8816	0.579236
103.196	52.8817	0.605961
103.182	52.8819	0.632843
103.167	52.882	0.659882
103.152	52.8822	0.687077
103.137	52.8823	0.714429
103.122	52.8824	0.741937
103.107	52.8826	0.769602
103.092	52.8827	0.797424
103.077	52.8828	0.825403
103.063	52.883	0.853538
103.048	52.8831	0.88183
103.033	52.8832	0.910278
103.018	52.8834	0.938883
103.003	52.8835	0.967645
102.988	52.8836	0.996563
102.973	52.8837	1.02564
102.958	52.8839	1.05487
102.944	52.884	1.08426
102.929	52.8841	1.1138
102.914	52.8842	1.1435
102.899	52.8843	1.17336
102.884	52.8844	1.20338
102.869	52.8845	1.23355
102.854	52.8847	1.26388
102.839	52.8848	1.29436
102.825	52.8849	1.325
102.81	52.885	1.3558
